1132,191,1233,178,1236,203,1135,216
995,201,1131,186,1135,221,999,237
1087,252,1144,246,1146,264,1088,270
990,259,1084,254,1085,269,991,275
937,208,990,204,992,237,939,241
1038,281,1093,283,1093,302,1037,300
1178,321,1239,321,1239,335,1178,334
998,377,1047,379,1046,391,997,389
971,315,1030,317,1030,329,970,328
1029,315,1075,317,1075,330,1029,329
1092,283,1137,285,1136,304,1091,302
1054,380,1111,383,1111,394,1054,392
1114,381,1152,384,1151,397,1113,394
1008,286,1034,286,1034,300,1008,300
1155,383,1182,384,1181,397,1154,397
1110,316,1162,318,1161,332,1109,330
1078,316,1109,317,1109,331,1077,330
967,263,992,262,993,273,968,275
964,374,998,377,997,390,963,387
948,314,978,317,977,329,947,326
