1024,350,1217,349,1217,409,1024,409
1041,406,1202,406,1202,435,1041,435
735,206,899,202,900,236,736,240
190,240,267,249,265,272,188,263
1020,164,1059,164,1059,177,1019,177
872,320,922,320,922,332,872,332
852,244,906,243,907,255,852,256
357,428,385,430,385,441,357,440
799,322,849,321,849,333,799,334
1040,178,1070,179,1070,191,1040,191
808,245,858,244,858,255,808,256
756,181,790,182,790,195,755,195
1014,180,1046,179,1046,191,1014,192
849,322,873,321,873,332,849,333
779,303,816,301,816,312,779,313
103,271,137,274,135,290,102,287
