804,205,872,210,871,232,802,227
308,57,399,65,397,91,306,83
114,40,223,48,221,78,112,70
318,86,390,88,390,105,318,102
49,69,136,75,135,96,48,89
305,117,408,126,406,142,304,132
568,236,607,239,599,331,560,328
52,41,114,44,114,67,51,65
4,114,47,115,47,127,3,126
142,102,210,104,209,117,142,115
1240,158,1279,160,1278,175,1239,173
211,105,255,107,254,122,211,120
74,100,135,102,134,114,73,112
154,116,210,122,209,137,152,131
76,114,110,116,109,131,75,130
101,115,150,117,149,132,101,130
41,97,70,99,69,113,40,110
138,75,171,77,170,95,137,93
52,115,73,116,72,130,51,129
