1083,346,1144,342,1146,366,1084,370
1107,412,1167,413,1167,435,1107,434
1105,449,1197,451,1197,465,1105,463
1021,350,1082,347,1083,371,1022,374
1111,376,1177,374,1178,392,1111,394
1010,446,1062,448,1062,461,1010,460
1063,466,1110,470,1109,483,1062,478
1107,468,1145,469,1145,482,1107,480
1034,378,1072,377,1073,394,1034,394
997,381,1034,378,1035,395,999,398
1060,449,1117,453,1116,464,1059,461
1075,379,1110,377,1111,392,1076,393
1045,413,1069,415,1067,432,1044,430
1070,417,1092,417,1092,434,1070,433
