287,285,493,258,498,297,292,323
493,251,638,234,642,276,497,292
226,440,404,413,408,437,230,463
304,376,427,364,429,391,306,402
245,190,344,180,346,207,248,217
577,150,647,144,649,168,579,174
342,223,432,217,435,260,344,265
413,417,507,405,510,428,416,440
439,170,512,161,514,183,442,192
436,222,519,215,521,249,438,255
187,197,244,194,246,216,188,219
370,175,435,170,437,194,372,199
649,143,696,138,698,160,651,164
521,208,565,201,570,238,526,245
542,156,577,154,578,177,543,179
515,161,544,158,546,178,518,182
611,388,686,377,689,397,614,408
