353,349,464,337,466,357,355,369
351,131,427,126,428,143,352,148
96,292,276,241,301,335,122,386
839,173,882,172,883,201,840,202
345,311,466,300,469,336,349,348
341,258,396,253,397,265,342,270
151,232,236,216,242,247,156,263
221,323,292,311,297,342,226,355
413,237,452,235,452,247,413,249
340,289,394,285,395,305,341,309
426,250,461,248,462,260,427,262
399,284,466,279,468,299,400,304
377,241,411,237,412,249,378,253
343,245,380,239,382,252,344,257
403,252,431,250,432,262,404,265
840,289,878,281,882,301,845,309
767,187,816,182,822,232,773,238
