268,537,353,469,371,492,286,561
224,225,375,177,394,238,244,287
35,113,87,45,107,61,54,129
357,462,422,412,435,430,370,480
-10,162,36,105,54,120,8,177
706,357,758,356,758,365,706,366
706,251,757,246,758,257,707,262
506,52,556,47,557,67,508,71
278,310,322,291,328,307,284,326
548,350,599,348,599,368,549,369
681,146,728,142,729,153,682,157
538,275,584,272,586,292,539,295
526,183,574,180,575,200,527,203
729,140,760,139,761,150,729,151
716,240,754,237,755,248,717,251
717,459,779,457,779,466,717,469
711,420,753,418,753,430,711,431
294,349,346,324,354,341,301,365
133,167,165,134,183,151,151,185
780,456,809,453,810,464,781,467
301,325,348,302,355,316,307,339
91,48,128,-5,149,11,112,63
375,71,412,9,438,25,400,87
699,4,726,3,726,13,700,14
319,294,349,283,353,296,323,307
761,235,790,233,791,245,763,248
93,222,139,161,164,181,118,241
346,282,371,273,375,286,351,295
347,304,381,287,387,300,352,316
234,34,270,-12,288,3,252,48
261,344,282,335,288,349,267,358
342,328,372,311,379,324,349,341
663,9,694,5,696,17,665,21
