41,54,237,70,233,117,37,101
266,348,428,334,432,372,269,386
45,372,252,354,256,392,49,410
113,106,245,120,243,143,111,129
196,408,270,400,273,426,199,434
166,455,208,449,211,467,169,473
403,475,442,469,443,483,404,488
51,103,117,109,115,133,49,128
272,397,316,392,319,416,275,421
320,389,382,384,384,408,323,413
209,450,312,435,314,450,211,465
73,421,136,417,138,445,74,449
17,430,72,428,73,455,18,457
136,415,186,410,189,435,139,441
340,427,385,420,387,435,342,442
374,388,432,378,435,395,376,405
402,417,435,413,436,426,404,431
