533,403,657,397,658,415,533,421
1184,222,1236,216,1240,249,1188,254
578,300,649,298,649,321,578,323
34,258,92,254,93,271,35,275
1196,335,1250,332,1252,359,1198,361
35,274,92,270,93,284,36,288
543,388,641,382,642,398,544,404
186,149,259,168,250,206,176,187
572,200,643,198,644,224,572,226
513,77,566,70,569,90,516,97
525,310,568,304,571,326,528,332
33,174,92,169,94,194,35,199
516,207,571,203,572,227,517,231
1100,191,1130,189,1131,205,1101,207
520,106,554,102,556,117,521,121
569,68,626,69,626,90,569,89
1013,70,1083,33,1105,78,1035,115
